ID,Linea,Producto,Descripción Corta,Ficha Expandida,Modo de Uso / Preparación (Opcional),Recetas,Presentación 1 (Peso),Precio 1 (Bs.),Presentación 2 (Peso),Precio 2 (Bs.),Presentación 3 (Peso),Precio 3 (Bs.),Nombre de Foto Adjunta
1,Línea Oro Marrón,Semillas de CACAO HIBRIDO sin tostar,Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,Consumo directo o tostar al gusto.,"Ingredientes y Preparación
Pulpa de açaí: 100 gramos congelada.
Plátano: 1 unidad congelada en trozos.
Líquido: 2 a 3 cucharadas de leche (vegetal o normal) o jugo de fruta para ayudar a licuar.
Toppings: Frutas frescas (fresa, banano), frutos secos o chía al gusto.
Licuar: Pon la pulpa y el plátano en la licuadora con poco líquido para que quede espeso como un helado.
Servir: Coloca en un bol y agrega los ingredientes extra arriba",1 kg,200,1/2 kg,100,250 gr,50,
2,Línea Oro Marrón,Semillas tostadas de CACAO HIBRIDO artesanal,"Cacao tostado, una experiencia auténtica y nutritiva.. Tostado artesanal. Cacao amazónico 100% natural y puro.",Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,Consumo directo.,"Ingredientes y Preparación
Pulpa de açaí: 100 gramos congelada.
Plátano: 1 unidad congelada en trozos.
Líquido: 2 a 3 cucharadas de leche (vegetal o normal) o jugo de fruta para ayudar a licuar.
Toppings: Frutas frescas (fresa, banano), frutos secos o chía al gusto.
Licuar: Pon la pulpa y el plátano en la licuadora con poco líquido para que quede espeso como un helado.
Servir: Coloca en un bol y agrega los ingredientes extra arriba",1 kg,215,1/2 kg,110,250 gr,55,
3,Línea Oro Marrón,Semillas de CACAO SILVESTRE CRIOLLO Sin tostar,Fuente de energía natural.. Mayor contenido de cualidades nutritivas y medicinales. Cacao amazónico 100% natural y puro.,Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,Consumo directo o tostar.,"Ingredientes y Preparación
Pulpa de açaí: 100 gramos congelada.
Plátano: 1 unidad congelada en trozos.
Líquido: 2 a 3 cucharadas de leche (vegetal o normal) o jugo de fruta para ayudar a licuar.
Toppings: Frutas frescas (fresa, banano), frutos secos o chía al gusto.
Licuar: Pon la pulpa y el plátano en la licuadora con poco líquido para que quede espeso como un helado.
Servir: Coloca en un bol y agrega los ingredientes extra arriba",1 kg,215,1/2 kg,115,250 gr,60,
4,Línea Oro Marrón,Cacao Molido,Molido artesanal. Textura granulada con trozos de cacao.. Para disfrutar del cacao 100% natural de manera más práctica. Conserva trozos de cacao.,Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,"Para consumo puro, en batidos, etc.",,40 gr,22,100 gr,42,250 gr,85,
5,Línea Oro Marrón,Manteca de cacao rústica 100% natural,Excepcional cualidad hidratante.. Para uso en cuidado personal. Para chocolatería y gastronomía.,Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,Uso cosmético o culinario.,,Estándar,,,,,,
6,Línea Oro Marrón,Chocolágeno (colágeno simple),Cacao molido + colágeno simple (gelatina sin sabor).. Potente aporte al cuidado de la salud articular y el bienestar emocional. Magnesio natural. 50% Cacao molido + 50% colágeno.,Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,Una cuchara en 1/4 de taza de agua caliente. Revolver hasta diluir. Preferible después del desayuno. Tips: añadir canela y/o miel.,"Ingredientes y Preparación
Pulpa de açaí: 100 gramos congelada.
Plátano: 1 unidad congelada en trozos.
Líquido: 2 a 3 cucharadas de leche (vegetal o normal) o jugo de fruta para ayudar a licuar.
Toppings: Frutas frescas (fresa, banano), frutos secos o chía al gusto.
Licuar: Pon la pulpa y el plátano en la licuadora con poco líquido para que quede espeso como un helado.
Servir: Coloca en un bol y agrega los ingredientes extra arriba",40 gr,23,100 gr,50,,,
7,Línea Oro Marrón,Chocolágeno (colágeno hidrolizado),Cacao molido + colágeno hidrolizado (diluye y absorbe más rápido).. Potente aporte al cuidado de la salud articular y el bienestar emocional. Magnesio natural. 50% Cacao molido + 50% colágeno.,Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,Una cuchara en 1/4 de taza de agua caliente. Revolver hasta diluir.,"Ingredientes y Preparación
Pulpa de açaí: 100 gramos congelada.
Plátano: 1 unidad congelada en trozos.
Líquido: 2 a 3 cucharadas de leche (vegetal o normal) o jugo de fruta para ayudar a licuar.
Toppings: Frutas frescas (fresa, banano), frutos secos o chía al gusto.
Licuar: Pon la pulpa y el plátano en la licuadora con poco líquido para que quede espeso como un helado.
Servir: Coloca en un bol y agrega los ingredientes extra arriba",40 gr,26,100 gr,55,,,
8,Línea Oro Marrón,Tabletas de chocolate negro 85% de cacao,"Bocado a bocado, deleite y energía natural.. Para consumo directo. Sabores BioBio es Agente exclusivo de distribución de chocolates amargo Ambaibo a nivel nacional.",Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,Consumo directo.,,80 gr,24,250 gr,48,,,
9,Línea Oro Marrón,Cocoa intensidad extra,"Intensidad de aroma, color y sabor de cacao con fibra extra.. 65% cocoa roja molido impalpable, 35% cocoa negra molido rústico. Contiene 22-25% g. de proteína x 100gr. 100% natural, cero azúcar, cero conservantes.",Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,"Para repostería, para preparación con agua o con leche.",,150 gr,35,250 gr,50,,,
10,Línea Oro Marrón,Pasta rústica artesanal de CACAO SILVESTRE,Pasta de cacao rústica elaborada con cacao silvestre-criollo del Beni.. 100% natural. Máxima intensidad y alto contenido.,Cacao sin tostar para una experiencia auténtica y nutritiva.. Opción de consumo directo o para tostarlo a su gusto. Cacao amazónico 100% natural y puro.,"Para preparar con agua, con leche, para chocolatería.",,100 gr,32,200 gr,62,,,
